"POLÍCIA RODOVIÁRIA FEDERAL
LOCAIS COM FISCALIZAÇÃO DE
VELOCIDADE POR RADAR PORTÁTIL
(Resolução 798/20 do CONTRAN)",,,
,,,
,,,
ESTADO (UF),RODOVIA (BR),KM INICIAL,KM FINAL
AC,317,"90,0","95,0"
AC,364,"90,0","100,0"
AC,364,"100,0","110,0"
AC,364,"110,0","120,0"
AC,364,"120,0","130,0"
AC,364,"130,0","140,0"
AC,364,"140,0","150,0"
AL,101,"100,0","110,0"
AL,101,"210,0","220,0"
AL,101,"220,0","230,0"
AL,316,"90,0","100,0"
AL,316,"160,0","170,0"
AL,316,"170,0","180,0"
AL,316,"180,0","190,0"
AL,316,"190,0","200,0"
AL,316,"200,0","210,0"
AL,316,"220,0","230,0"
AL,316,"240,0","250,0"
AL,316,"250,0","260,0"
AL,316,"260,0","270,0"
AL,423,"0,0","10,0"
AL,423,"10,0","20,0"
AL,423,"50,0","60,0"
AL,423,"60,0","70,0"
AL,101,"60,0","70,0"
AL,101,"70,0","80,0"
AL,101,"80,0","90,0"
AL,101,"90,0","100,0"
AL,101,"120,0","130,0"
AL,101,"130,0","140,0"
AL,101,"160,0","170,0"
AL,101,"170,0","180,0"
AL,101,"180,0","190,0"
AL,101,"190,0","200,0"
AL,101,"200,0","210,0"
AL,104,"30,0","40,0"
AL,104,"40,0","50,0"
AL,104,"60,0","70,0"
AL,104,"70,0","80,0"
AL,104,"80,0","90,0"
AL,104,"90,0","100,0"
AL,316,"100,0","110,0"
AL,316,"140,0","150,0"
AL,316,"150,0","160,0"
AL,423,"90,0","100,0"
AM,174,"1.000,0","1.010,0"
AM,230,"600,0","609,2"
AM,230,"610,4","619,7"
AM,319,"30,0","40,0"
AM,319,"40,0","50,0"
AM,319,"50,0","60,0"
AM,174,"910,0","920,0"
AM,174,"950,0","960,0"
AM,174,"960,0","970,0"
AM,174,"970,0","980,0"
AM,174,"980,0","990,0"
AM,174,"990,0","1.000,0"
AP,156,"340,0","350,0"
AP,156,"360,0","370,0"
AP,156,"370,0","380,0"
AP,156,"380,0","390,0"
AP,156,"390,0","400,0"
AP,156,"400,0","410,0"
AP,156,"420,0","430,0"
AP,156,"430,0","440,0"
AP,156,"440,0","450,0"
AP,156,"450,0","460,0"
AP,156,"460,0","470,0"
AP,156,"470,0","480,0"
AP,156,"510,0","520,0"
AP,156,"580,0","590,0"
AP,156,"780,0","790,0"
AP,156,"810,0","820,0"
AP,210,"0,0","10,0"
AP,210,"10,0","20,0"
AP,210,"20,0","30,0"
AP,210,"30,0","40,0"
AP,210,"40,0","50,0"
AP,210,"50,0","60,0"
AP,210,"60,0","70,0"
AP,210,"70,0","80,0"
AP,210,"80,0","90,0"
AP,210,"90,0","100,0"
AP,210,"100,0","110,0"
AP,210,"100,0","110,0"
AP,210,"110,0","120,0"
BA,020,"10,0","20,0"
BA,020,"20,0","30,0"
BA,020,"80,0","90,0"
BA,020,"130,0","140,0"
BA,020,"140,0","150,0"
BA,020,"150,0","160,0"
BA,020,"160,0","170,0"
BA,020,"170,0","180,0"
BA,020,"180,0","190,0"
BA,020,"190,0","200,0"
BA,030,"230,0","240,0"
BA,030,"230,0","240,0"
